景区名称,评论日期,评论详情
A02,2019-03-23,订票很方便，不过订票前一定要看好预定需知，省的到时候麻烦，在这里定通票合适，比景区便宜多了！两个谷要玩上一天合适，这次去有好几个项目没开，人也不多，天气真好！
A02,2020-10-05,一星都不想给，简直垃圾到爆炸，里面破的要死，能玩的没几个，人还巨多，设施都又破又旧，不是一两个，是所有，再也不会去了，下午4点就出来了，简直是白扔钱！千万别去！白送我票都不会再去了，这是我去过的最垃圾的景点了！垃圾垃圾垃圾！！！！
A02,2019-06-07,【景色】东部A02城值得一看  景色很美  就是买的双谷游玩  时间特别赶 值得一提的是一路上去都有扶梯  不会很累
A02,2020-10-05,买了年卡，门口的人个个牛逼的不行，车场明明出来很多车，告诉我只出不进，大吼大叫的，买卡那天说要现场，来了现场要买高价年卡，网上的不卖，后面来了三次，每次进不去，里面的设备坏的坏，旧的旧，以后不会再来，垃圾公司，快点倒闭吧
A02,2019-07-14,骄阳似火，真的是硬着头皮出门的。打卡东部A02，玩了五小时，整体感觉还蛮充实的：临近大海，风景很美；节目表演很精彩，连晚晚都不停地笑和鼓掌；儿童游乐设施排队的人不多；还有许多动物看……但是，这是我见过的最坑的景区，怡宝8块，雪碧10块，抢钱啊！可不买没办法，没有直饮水200元的门票居然只是大峡谷的，茶溪谷的150要另买。只有大峡谷就算了，它还大块大块的区域整天不开放。这么贵的门票，里面居然还有很多额外收费的项目。总体来说：值得一去，记得带足水和干粮，不要错过探险峡谷的表演。
A02,2020-06-02,庆幸我是买的6月特价票，否则会觉得更窝囊。整个景区就没有准备好营业的样子，里面荒凉的要命，几乎一大半都没开，处于封闭状态。原本的9点开门也延迟到10点，也没有什么通知。小火车取消，说11点可以做接驳巴士去大侠古，结果等了半个小时才来。上车查票下车查票，好像只关心你有没有花钱买联票。能玩的地方最多五个。大家千万不要来，来了一定会后悔的。感觉一年都恢复不了。
A02,2020-11-28,不好玩，很多项目没开，美食街也都关了，每个项目排队人太多了，基本都是排队两小时体验5分钟，周末不建议过来，可能工作日会好点吧
A02,2019-05-02,东部A02囊括非常多的游玩项目，几乎什么都有，主要包括大侠谷生态公园、茶溪谷休闲公园、云海谷体育公园、大华兴寺、主题酒店群落、天麓大宅等六大板块，全部玩下来要不少的时间，旺季就更加了，不过确实很好玩，值得一去。
A02,2020-05-08,第二次去了，但是这次体验特别差，很多项目都没有开，只开了个别的项目，想去看表演“咆哮山洪”疫情关闭，想去顶上玩那个最刺激的“指南针”维护不开，玻璃桥也是维护不开。开了过山车、和激流勇进要排队2小时，30多度的天，干脆不坐了；不过下次还会去，一定要把这次的遗憾给补回来。
A02,2020-11-16,真心不好，设施陈旧，人员很少，态度特别不好，存包30
A03,2020-08-10,太大了，逛到脚痛都逛不完天气很好，但是超级无敌晒
A03,2020-09-26,9月底去的，天气还是挺热的，白天太晒，晚上很凉快，我们买的是夜场门票，景点只能看一小部分，只去欧洲板块走马观花看了看，除了埃菲尔铁塔、凡尔赛宫、拱门、金字塔、白宫等比较大以外，其他大都是小模型，造型也比较粗糙，再加上是晚上黑乎乎的，没看到庐山真面目。主要是晚上的灯光秀，剧场表演以及魔幻电影，这些都很赞，绝对是国内一流水准，值回夜场票价！
A03,2020-11-15,挺好的，买的夜场票，路边溜达时间长了，七点才进去，感觉没玩够，还是玩一整天比较好
A03,2020-11-28,比官网便宜了5元，进门刷身份证就可以了，屏幕会显示订票渠道：去哪儿网。A03这么多年了，还不错，下午进去的，晚上7:30的演出很棒，虽然只演了三幕，超值，买了日票的一定早点去换演出门票，应该能换到中间最前排。
A03,2020-11-04,到深圳旅游 买了万圣节夜场双人票，才94元两人，非常满意，特别是看了一场盛世记演出，太值了，深圳是个好地方，以后会再来。
A03,2020-10-26,行程安排的合理，纯玩没有购物，服务都很耐心，柴火鸡味道不错。肉也挺多的，吃饱没问题。最后还剩了一些，最后我们在A03结束，我们买了个夜场票进去看了夜场，现在是万圣节的活动，玩的挺开心。第一次来深圳完美。有机会还会带家人一起来。
A03,2019-07-25,A03非常值得一去，可以在里面玩一天，不去世界各地也能观赏到埃菲尔铁塔，凯撒宫，等等的辉煌，因为我是下午4点多去的，买全天票也看不完里面的各个景观，就买了个演艺票，演艺在每个地方都有，但是都演艺着不同的文化，是值得一看的，用丝绸之路繁衍了中外人际贸易关系。如果有机会我会去一次白天场看看里面的世界景观
A03,2020-07-18,A03还是比较适合亲子游的，环境不错，设施齐全，服务人员也挺喜欢情，如果真要认真玩一天时间感觉都不够，深圳的天气热情似火，走马观花大体逛了一圈就出来了，哈哈
A03,2020-09-14,景点还是几年前的景点，只不过几年前的时候很干净，现在要比以前脏好多。
A03,2019-06-24,这个路线总体还是不错的，就是在大梅沙的时间有点太短！然后海上时间比较长，想玩海时间太短！然后午餐用餐感觉人员素质参差不齐，只能说有些人素质太差！去A03，有人没有票居然跟着混进去，我们最后没有票进去了！最后带队的给解决了，不然这次跟团就肯定是个差评！领队全程还是很负责的，给大家拍照啥的，值得肯定
A04,2019-06-16,是亲子游的绝佳场所，门票就是有点贵，不过可以接受，爷爷奶奶不放心小朋友也跟上来了，当天我们十点多就到了，错过了节假日，人也还是多，不过错峰出行我们一天是把动物园逛完了，两种路线都逛完了，早上我们先坐的缆车，缆车人多，排了半小时队，小火车是把步行区转完了去坐的，到了下午四点半刚好小火车到站就下雨了，地铁站到男北门都有接驳车，很方便的，总之这次还算满意，就是有些动物表演没有看到，只看到了大象表演
A04,2020-01-23,野生动物园差不多，票价偏贵了。大马戏比较精彩，八点的场次，6点40才能检票进入，我们6点多看看人多起来就等了，进去位置很不错，所以还是早早等。拿票动物园北门拿着猫和老鼠旗帜的人就可以，他们工作人员很多，找到他们就行了。
A04,2019-03-22,很有ABC特色的亲子酒店，房间里的装修很可爱，小孩子特别喜欢，洗漱用品也很有特色，对应的房间还送了对应动物的小绘本，是可以带走的。不过房间大小不是很大。离动物园北门也很近，步行10分钟就能到。拿着酒店门卡或者酒店门卡里的一张小纸条进园坐缆车看4d电影这些都可以走快递通道，这一点也很方便。总的来说，性价比还是很高的。等小孩再大点还会再来的ps：楼下茶餐厅很一般，可以去酒店马路对面的餐厅吃，海鲜早茶都要比楼下的好吃很多！
A04,2019-12-25,有园区的工作人员在那，他会主动给你园区里的地图和表演的时间安排，很周到，上接驳车大概也是34分钟车程就能到达园区门口，下车后就会见到写着电子取票的指引，在那就会有工作人员指引你如何取这电子票，虽然人多，但都很快就能拿到门票，公园里面的表演项目都会按照进园后的路线安排，园区是9:30开门，18:00关门，第一班的接驳车是9:45，如果你能够坐上第一班的接驳车前往园区进去游玩，按地图上的线路走，那么一日下来，都可以把所有表演的项目全看完，安排得妥妥的，我们那天是17:30左右出园区去坐接驳车回去会江地铁站，小朋友也很高兴地结束了一天的行程。
A04,2020-11-28,周五逃课跟朋友在广州集合！终于如愿以偿的到达欢乐世界。学生票198 需要出示相关证件（校卡或者录取通知书），另外一定要带身份证身份证身份证！办完之后我们就直奔垂直过山车，刚开始吓得手心直冒汗，玩完之后发现不那么害怕了，我们几个索性把所有过山车玩完，导致晚上睡觉还觉得自己在过山车上，心飘飘的。最后一个过山车玩的是激流涌进，真的非常的爽，虽然全身湿透，不足就是没有行李寄存，要直接抱着包包，深圳欢乐谷都有行李寄存的地方。另外还有几个3D电影也是蛮有意思，早上十一点进场，晚上看完蹦迪八点左右闭馆，除了跳楼机没玩其他都差不多打卡了（取决于当天人多不多）。 啊啊啊景区的东西真是太贵了，早上吃饱一点吧，不然里面一份饭70-80，矿泉水10，烤热狗20
A04,2020-12-14,优惠力度不如成人，但是进去玩一天这个价是值回来的！
A04,2019-06-20,最好提前到。 我从这位代理商这里订的。 在官方的取票点拿不到。马戏非常精彩，来广州必须要看。看了终身忘不掉。
A04,2018-10-04,果然是收费高的景区，里面人员服务确实比较热情，动物园太大了，逛逛拍拍，7小时以上，吃饭特别贵，最普通的饭78起。。矿水卖到10块。。不过还好，里面的动物养的比较好，不过种类也不算特别多吧，有机会的一定要坐小火车，不过人特别多，排队个把小时，马戏特别好看，节目很精彩，可惜人很多，8点的马戏，6.30去排队，前面都已经一堆人了，所以建议大家提前两小时排队比较好
A04,2018-10-08,ABC飞了乐园是我去过的所有动物园里感觉最好的。每到一处，基本都会有讲解员给你讲解，了解了许多鸟类生活知识。并且园里有到2号地铁站的穿梭巴士。非常方便。工作人员的态度非常好，服务十分热心。走在景区里，时不时头顶上的树枝上，草丛中都会停有不同的鸟类，以鹦鹉居多，形色各异。真是给人以小小的惊喜。景区内的水卖的比较贵，矿泉水12人一瓶，建议自带。小朋友还可以买食投喂小动物，非常有趣。不同的时间段还有不同的动物表演。真的值得推荐大家去游玩。
A04,2018-08-27,ABC三园区的联票还是比较方便的，但也让人有点郁闷。我们家小孩没有一米，碰见个傻子验票员，硬要给她量身高，行，咱量，穿着鞋子都没有一米，她脑残量完一遍居然说脱鞋子再量一遍，我是又好笑又好气。旁边的游客都在骂她，问她数学怎么学的，智商堪忧啊！
A05,2020-11-07,第一次来海洋馆，感觉好神奇啊！水母，白鲸，海豚，海豹，海象，企鹅，北极狐，北极熊，各有各的可爱，还有其他的陆地动物，也都很值得观赏。园区内有激流勇进等很多惊险的娱乐项目，但是如果入园晚的话，一天时间就好紧张，几乎没有时间玩，因为还需要排队。游览是要关注几场表演，包括海豚的，白鲸的，都很好看，只是觉得动物们有点可怜。晚上有很炫酷的烟花秀，配合着七彩光下的喷泉表演，还是很值得一看的。园区里的餐厅都挺贵的，建议自己偷偷带些吃的。
A05,2020-11-21,值得一去的游玩场所，不管小孩，不同年龄玩的项目都有。
A05,2020-10-05,珠海横琴ABC海洋王国一日游小结：前提，是实在不想辜负长长假期，小宝每天把A05挂嘴边，所以就网上订票，亲子票（2大1小，我家大宝是成人票），高速免费。1、关于游玩。园区确实不是很大，每个项目挨得很近。划重点了，人真的超级超级多，不过不挤挤好像对不起这8天假期。我们母子三人，游玩的目标就是看看看，胆子小没办法玩激烈的项目。除了海鸟馆没打卡，其他馆都打了，整体来说就是海底世界觉得还不错，演出我们全部打卡了。网红的水底鲸鲨馆太多人了，没办法拍照。顺带说下，鲸鲨馆大玻璃前面可以购买露营帐篷套餐，位置先到先得，500元，但是在鲸鲨旁边睡觉，嗯嗯，怪怪的。巡游方面基本到点收在大门入口的湖边肯定没错了，绕湖一周，那个龙马表演，路过身边的时候只觉得一股润滑油的味道，晚上7点的灯光巡游很不错，晚上8点的烟花也在湖边，可能是双节吧，这次主题很应节，运用了无人机、烟花和灯光搭配成一场非常不错的烟花表演，这时不得不称赞下园方，烟花表演的时候还喷了一些水，让空气好些。有个小攻略，由于灯光巡游和烟花表演是同一个区域，建议找湖边阶梯的地方站着就可以了，左边转身是灯光巡游，结束后一转身就是坐等烟花表演，因为真的有些人是6点不到就站着湖边位置了。2、关于吃喝方面。带了三个水壶，园区外面没有温水和热水，如果需要请进餐厅倒，找服务员就可以了。由于今天太热，我们都是买水喝，矿泉水6元，听状可乐8元，脉动12元，园区自制饮料18元，其他选择不多了，于是我也忘记买了多少，反正估计人手3瓶是有的。我们没有买餐饮套餐，只是饿了就停下来找吃的，非餐厅的小卖部，一个套餐盒饭68元，两条肠仔加一个鸡扒加一盒冰红茶（超市卖1元一盒那种），晚餐我们选择了大门口的餐厅，乌冬面108元，炒饭98元，反正不要考虑价钱就是了，不过味道还可以。我们是一个吃的女没带，园区说是不能带的，可能是国庆大多数了，今天书包没有检查，所以一堆人大袋小袋带进来了。3、关于衣物装备。记得戴帽子，不要傻乎乎带伞，人多，容易弄到别人。我们带了帽子，但是忘记带防晒了，所以晒了一天。有小朋友的，一定要推个小车，真的太实用了，什么不想拿的，不想背的，都可以塞车里。孩子下午睡了一会都是放车里的。一个带二娃的二妈，天气又热，又要看小的顾大的，身上的衣服湿了又干，干了又湿，头发戴着帽子由于出汗，耷拉着脑袋，有点衣衫不整的凌乱[捂脸]
A05,2020-06-30,少一颗星是因为88元是抵消卷，不是管一份，里面的餐厅很多不开，我建议游客带面包进去，餐厅的东西很贵，服务也不好，里面有自动饮料贩卖机，矿泉水6块，饮料8块，可以接受的，建议大家看准剧场时间去看表演，可玩性不多，但是可观赏性很好很多小摊也不开
A05,2020-09-26,比想象中的要好玩儿太多，绝对值得这个票价。几大剧场一定要去看，5D电影体验感超级强，让人身临其境，大呼过瘾，海豚表演、白鲸表演和海象表演都值得一看，与训练师的互动都特别和谐有爱，海豚表演还有小朋友互动，超级有爱。鲸鲨馆的巨型玻璃超级无敌，里面有好几条大鲸鲨。晚上的夜光巡游，花车很漂亮！烟花表演就像上演了一场好莱坞大片，烟花四起，美轮美奂，激光在空中打出各种海洋生物的形状，总之是一场超级棒的视听盛宴。还有其他各种过山车、水上游乐项目等等都没来得及体验。如果是年轻人，一天应该能把所有项目逛完，前提是不要排很久的队。如果带着孩子，逛一天还是挺累，最好玩两天！我们住的附近的马戏酒店，买的酒店套票，两天内可以随时进出。酒店设施也不错，很多东西都是孩子喜欢的风格，不足就是餐饮太贵。
A05,2020-06-14,买票要提前，不然价格会贵一点，晚了几小时下订价格就开始涨了十几块，吃饭要错开高峰期，我们一点多去吃以为算晚了，结果排队还是排了一小时还要站着别人桌子前等别人吃完才能抢到位置@雨林餐厅，大概两点半去就差不多了，人还算适中不挤，因为每个项目都排队停久的，玩耍2分钟排队一小时，所以最好做点攻略再去，基本上一天下来，我也就玩了两个项目，看就多了，看了四五个项目
A05,2020-08-13,孩子非常满意，大人累(o )热死了
A05,2019-05-31,来来来，敲黑板，划重点了！图片按照比例顺序来图一这个过山车真是爽，看着爽，有翻转，胆子大可以挑战，是里边最刺激的项目了；图二冰山过山车玩了两次，这个只有两次冲下来，爽，为了拍照更美坐第一排眼睛睁大，记得拍pose；图九5D影院体验三次，不错；图三比较平稳图四巡游在下午19:15图五空中飞人，很厉害！图六英雄庆典演出，一定要先去看5D电影哦！这里是相关的；图七图八海豚海狮表演，里边表演比较多小朋友都喜欢哦！之前怕一天玩不完就定了两天的票，其实一天足够了，上午到，下午进园到晚上足够园区不大，可以先从自己喜欢的项目开始，图一图二白天体验更好。整体来说不错
A05,2020-07-10,路上交通不方便，我们是跨市的，而且我们是倒公交的，不建议这种方式，因为我们从6:00出发到12:00才到的，路上交通非常的堵塞。   不过也还好，我们在下午5:00多的时候玩完了所有的项目，人很多，但是项目不会说规定人数，所以挺快的，而且我们有的项目还玩了两三遍。心情很棒，看到了很多不同的海洋生物，同时也在惊叹中国的科技如此发达。    除此之外，还要做好防晒，防晒，防晒。在门口拿一张公园指南。按照公园指南的路线玩，这样会节省很多的时间。
A05,2020-01-24,好玩，看了好多剧场表演，真的太棒了
